id,name,close_approach_date,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,relative_velocity_km_per_h,miss_distance_km
54161068,(2021 MD),2025-05-03,0.0523064176,0.1169607054,False,34861.3443513957,39538620.46061513
54317869,(2022 UX3),2025-05-03,0.0689532874,0.154184238,False,79868.4653941038,21693283.245331474
54335008,(2022 YH),2025-05-03,0.0291443905,0.0651688382,False,62588.9990811902,71678728.67747004
54352572,(2023 FC6),2025-05-03,0.2007035141,0.4487867009,True,41249.8982041672,9694854.02933403
54439998,(2024 JM2),2025-05-03,0.0466181437,0.1042413384,False,40622.4505087272,2742304.914114694
54465942,(2024 PR3),2025-05-03,0.1830437804,0.4092983358,False,43951.4295331172,71268672.43360081
54527741,(2025 HR5),2025-05-03,0.0232999493,0.0521002706,False,36248.0688301903,14087464.541476015
3180147,(2004 HQ1),2025-05-02,0.0537718498,0.1202375114,False,54987.4141198657,38591185.13596095
3468431,(2009 SA100),2025-05-02,0.04411182,0.0986370281,False,22094.4277035613,23280141.843527976
3627059,(2013 DF),2025-05-02,0.0319561887,0.0714562102,False,41858.7010535052,61623817.991724126
3670293,(2014 HS184),2025-05-02,0.058150704,0.130028927,False,73432.6168468198,70395021.65070973
3748562,(2016 GB1),2025-05-02,0.135692229,0.303417048,False,91103.682813485,9590512.29752941
3831479,(2018 TF3),2025-05-02,0.2101623793,0.4699373665,True,86030.1038322698,16396495.637257267
3841529,(2019 HO),2025-05-02,0.0425162524,0.0950692305,False,33324.5943830537,20835342.73707483
3841721,(2019 JV1),2025-05-02,0.0676947481,0.1513700585,False,58480.0557304381,21823961.562471297
54135432,(2021 GU3),2025-05-02,0.0110803882,0.0247765013,False,82314.052515482,70746267.17209607
54139086,(2021 HV1),2025-05-02,0.2821986791,0.6310154296,False,132902.9562204137,26252694.110941567
54212592,(2021 UL1),2025-05-02,0.0310852938,0.0695088301,False,30623.5826627692,69561775.2478942
54239841,(2022 BH1),2025-05-02,0.1748054532,0.3908768761,True,162470.7483225131,72780519.09935
54251532,(2022 EA3),2025-05-02,0.0091739206,0.0205135101,False,13523.9002703178,50051697.6912276
54317171,(2022 UW1),2025-05-02,0.0520660914,0.1164233197,False,55958.5262488856,38122709.068843134
54378343,(2023 QG5),2025-05-02,0.1133848361,0.2535362011,False,59479.6897741504,61915504.1729665
